Gene	ReadthroughRate	ExpLevel
YNL255C	0.0121881680491	959.268953486
YPL094C	0.0883354088834	203.229250007
YJL190C	0.00958040523765	4995.86737283
YDR276C	0.00726590106007	449.374095874
YIL148W	0.00503919978373	2985.97837645
YIL051C	0.0146275593518	330.889558111
YOR063W	0.00821854154189	5615.45885559
YER117W	0.0070971544031	5656.61480017
YHR141C	0.0236679457512	4888.62874257
YMR186W	0.00456647038763	461.865258973
YIL133C	0.00215626298101	1500.23360775
YGL031C	0.00426213709645	3773.04998133
YOR210W	0.00486095715977	527.575540242
YJL008C	0.0443704936217	218.723560868
YDR170C	0.0716317791154	28.564731389
YFL039C	0.00459617528084	618.025654085
YJL174W	0.0251006837127	141.143056717
YPR028W	0.0122393794919	306.154860572
YNL145W	0.00694423394353	1306.96457857
YEL017C-A	0.00433574702633	1309.90298255
YGL070C	0.0270477441962	158.778847209
YOR182C	0.00936020262086	3806.85071321
YOR167C	0.015885074665	3556.04612053
YBR082C	0.0337924768474	299.450000424
YKR057W	0.016892595369	3501.77477566
