Type	Gene	RelativeLength
RT	YEL009C	0.142857142857143
RT	YBR252W	0.012987012987013
RT	YOR094W	0.00847457627118644
RT	YLR270W	0.0294117647058824
RT	YHR116W	0.0153846153846154
RT	YIL053W	0
RT	YPL061W	0.0303030303030303
RT	YPR062W	0.051948051948052
RT	YDR429C	0
RT	YMR186W	0.03125
RT	YJL143W	0.0053475935828877
RT	YML058W	0
RT	YKL104C	0.00662251655629139
RT	YGL225W	0.0357142857142857
RT	YDL046W	0.00671140939597315
RT	YIL118W	0
RT	YDL015C	0.0121951219512195
RT	YDR346C	0.00671140939597315
RT	YDR091C	0.0142857142857143
RT	YLR192C	0
RT	YDR033W	0.0053475935828877
RT	YPL154C	0
RT	YNL241C	0.012987012987013
RT	YHR026W	0.0425531914893617
RT	YHR141C	0.0393700787401575
RT	YDR398W	0.00917431192660551
RT	YPL266W	0
RT	YOR335C	0
RT	YHR162W	0
RT	YLR058C	0
RT	YGR211W	0.289256198347107
RT	YKR066C	0.0204081632653061
RT	YGR181W	0.010989010989011
RT	YPL224C	0.0588235294117647
RT	YOL068C	0.0829268292682927
RT	YLR359W	0.00934579439252336
RT	YLR390W-A	0
RT	YGR020C	0.147058823529412
RT	YNL113W	0.00598802395209581
RT	YDL055C	0.0315789473684211
RT	YGL200C	0
RT	YER009W	0.00917431192660551
RT	YGL105W	0.0169491525423729
RT	YJL158C	0.024390243902439
RT	YLR421C	0.00689655172413793
RT	YGR106C	0.00645161290322581
RT	YOL109W	0.00970873786407767
RT	YDL143W	0.0731707317073171
RT	YML012W	0
RT	YCR004C	0.0454545454545455
RT	YBR025C	0.037037037037037
RT	YPL094C	0
RT	YGR027C	0.0169491525423729
RT	YIL002W-A	0.0555555555555556
RT	YNL079C	0.0232558139534884
RT	YER043C	0.010989010989011
RT	YOR061W	0
RT	YOR298C-A	0
RT	YDR214W	0.00578034682080925
RT	YPL170W	0.0202429149797571
RT	YGR180C	0.0075187969924812
RT	YMR260C	0
RT	YBR283C	0.0810810810810811
RT	YHR064C	0.0526315789473684
RT	YCR012W	0
RT	YIL022W	0
RT	YLR268W	0
RT	YEL040W	0.0476190476190476
RT	YDR170C	0.037037037037037
RT	YIL138C	0
RT	YOL128C	0.00523560209424084
RT	YJL190C	0.0819672131147541
RT	YER072W	0.0136986301369863
RT	YDL036C	0.0684931506849315
RT	YMR072W	0.024390243902439
RT	YKL109W	0
RT	YPL127C	0.00552486187845304
RT	YDR377W	0.012987012987013
RT	YNL111C	0.0149253731343284
RT	YPR016C	0
RT	YBR015C	0.0194174757281553
RT	YPR110C	0
RT	YDL145C	0.023696682464455
RT	YDR328C	0.0458715596330275
RT	YPL237W	0
RT	YGR175C	0.0188679245283019
RT	YDR074W	0.0167597765363128
RT	YOR063W	0
RT	YCR057C	0.0655737704918033
RT	YJL008C	0
RT	YLL018C	0.0512820512820513
RT	YHR148W	0.0062111801242236
RT	YNL281W	0
RT	YIL051C	0.0181818181818182
RT	YKR080W	0.0153846153846154
RT	YDR054C	0.0185185185185185
RT	YDR480W	0.00552486187845304
RT	YDL212W	0
RT	YER025W	0.0263157894736842
RT	YAL012W	0.00709219858156028
RT	YDL130W	0.00699300699300699
RT	YOL143C	0
RT	YJR091C	0.00418410041841004
RT	YKR057W	0
RT	YGL103W	0.024390243902439
RT	YGR167W	0.0374331550802139
RT	YNL255C	0.0224719101123595
RT	YLR175W	0
RT	YKL117W	0.0163934426229508
RT	YOL086C	0
RT	YBR244W	0
RT	YJR048W	0
RT	YLR340W	0
RT	YDR388W	0.0048780487804878
RT	YJL026W	0
RT	YLR214W	0.0977443609022556
RT	YPL028W	0.0212765957446809
RT	YGR083C	0.103448275862069
RT	YDR368W	0.012987012987013
RT	YJR143C	0
RT	YDR158W	0
RT	YML022W	0.0259067357512953
RT	YPL234C	0.0175438596491228
RT	YJR014W	0
RT	YKL172W	0.0232558139534884
RT	YKL067W	0
RT	YDR002W	0.00558659217877095
RT	YOR295W	0.0149253731343284
RT	YDR297W	0.018348623853211
RT	YPR028W	0.0261780104712042
RT	YDR155C	0
RT	YLR448W	0
RT	YML126C	0.0135135135135135
RT	YFL039C	0.0135135135135135
RT	YCL011C	0
RT	YLR300W	0
RT	YOR310C	0
RT	YMR038C	0
RT	YML028W	0
RT	YBR089C-A	0.0227272727272727
RT	YKR042W	0
RT	YIL133C	0
RT	YAL005C	0
RT	YPL131W	0
RT	YGL031C	0
RT	YOL139C	0
RT	YJL174W	0.0117647058823529
NonRT	YPR161C	0.025
NonRT	YOL138C	0.0163934426229508
NonRT	YDR395W	0.0526315789473684
NonRT	YGR129W	0.00346020761245675
NonRT	YPR165W	0.0140845070422535
NonRT	YCL050C	0.0136054421768707
NonRT	YPR098C	0
NonRT	YPL015C	0.0542635658914729
NonRT	YMR193W	0.024390243902439
NonRT	YGR053C	0.0454545454545455
NonRT	YOR280C	0
NonRT	YGR097W	0.0232558139534884
NonRT	YKR011C	0
NonRT	YJL200C	0
NonRT	YLL027W	0.0163934426229508
NonRT	YLR045C	0.0285714285714286
NonRT	YPL183C	0.0204081632653061
