Type	Gene	RelativeLength
RT	FBgn0052251	0
RT	FBgn0052758	0
RT	FBgn0032208	0
RT	FBgn0026427	0
RT	FBgn0039861	0.0149253731343284
RT	FBgn0036173	0
RT	FBgn0029925	0.0588235294117647
RT	FBgn0030648	0
RT	FBgn0040066	0
RT	FBgn0032229	0.0526315789473684
RT	FBgn0031068	0.00442477876106195
RT	FBgn0003071	0
RT	FBgn0005655	0
RT	FBgn0001301	0
RT	FBgn0035498	0
RT	FBgn0030719	0
RT	FBgn0033349	0
RT	FBgn0035471	0
RT	FBgn0034215	0
RT	FBgn0034304	0
RT	FBgn0033528	1
RT	FBgn0038235	0
RT	FBgn0032870	0.0326409495548961
RT	FBgn0014006	0
RT	FBgn0016797	0
RT	FBgn0035205	0
RT	FBgn0000319	0
RT	FBgn0033480	0
RT	FBgn0011745	0
RT	FBgn0027528	0
RT	FBgn0039006	0.125
RT	FBgn0022987	0
RT	FBgn0061492	0
RT	FBgn0031820	0
RT	FBgn0033160	0.05
RT	FBgn0034086	0.0847457627118644
RT	FBgn0031090	0.0526315789473684
RT	FBgn0032246	0
RT	FBgn0031883	0
RT	FBgn0250823	0
RT	FBgn0031247	0
RT	FBgn0034939	0.0062111801242236
RT	FBgn0061198	0
RT	FBgn0038488	0.0169491525423729
RT	FBgn0086357	0
RT	FBgn0039489	0
RT	FBgn0030743	0.04
RT	FBgn0025864	0.00840336134453781
RT	FBgn0005596	0
RT	FBgn0026593	0
RT	FBgn0036396	0.108108108108108
RT	FBgn0036008	0
RT	FBgn0033717	0.131578947368421
RT	FBgn0032956	0
RT	FBgn0027554	0
RT	FBgn0038223	0.0140845070422535
RT	FBgn0035911	0.215686274509804
RT	FBgn0004867	0
RT	FBgn0001079	0
RT	FBgn0037378	0
RT	FBgn0011291	0
RT	FBgn0031971	0.0188679245283019
RT	FBgn0039831	0
RT	FBgn0045823	0
RT	FBgn0035402	0
RT	FBgn0000996	0
RT	FBgn0032421	0
RT	FBgn0028694	0
RT	FBgn0250838	0
RT	FBgn0259876	0.0714285714285714
RT	FBgn0030768	0
RT	FBgn0031868	0.0285714285714286
RT	FBgn0003741	0.008
RT	FBgn0050085	0
RT	FBgn0033032	0.0575916230366492
RT	FBgn0001961	0
RT	FBgn0031505	0
RT	FBgn0001291	0
RT	FBgn0040931	0
RT	FBgn0037087	0
RT	FBgn0261268	0
RT	FBgn0085188	0
RT	FBgn0028538	0
RT	FBgn0016120	0
RT	FBgn0031633	0
RT	FBgn0031170	0
RT	FBgn0053554	0
RT	FBgn0011672	0
RT	FBgn0023170	0
RT	FBgn0040334	0
RT	FBgn0045862	0.024390243902439
RT	FBgn0035044	0
RT	FBgn0032293	0
RT	FBgn0028646	0
RT	FBgn0039218	0
RT	FBgn0043010	0.0175438596491228
RT	FBgn0029512	0.0217391304347826
RT	FBgn0028737	0
RT	FBgn0039924	0
RT	FBgn0035540	0
RT	FBgn0038976	0
RT	FBgn0054008	0
RT	FBgn0038855	0
RT	FBgn0015778	0.0195121951219512
RT	FBgn0037328	0.00869565217391304
RT	FBgn0005278	0
RT	FBgn0263603	0
RT	FBgn0030973	0
RT	FBgn0032242	0
RT	FBgn0044823	0.00740740740740741
RT	FBgn0037248	0.00315457413249211
RT	FBgn0010409	0
RT	FBgn0036728	0
RT	FBgn0033232	0.195121951219512
RT	FBgn0011726	0
RT	FBgn0053523	0
RT	FBgn0000251	0.0344827586206897
RT	FBgn0033571	0
RT	FBgn0036516	0
RT	FBgn0035435	0
